Số 02, LK48
Số 22, Ngõ 17 Tạ Quang Bửu
Tầng 12, Tòa Nhà MD Complex
Số nhà 32, Ngõ Chùa Đồng Bàn
Xóm 3, thôn La Tinh
Tầng 2, số 15 Đường Trần Kim Xuyến
Số nhà 34, đường 422B
Xóm 2, thôn Khánh Tân
Phòng 10.23, Số 5 Điện Biên Phủ
Số nhà 14, Ngách 37
Số 21, KTT Dệt 19/5
LK16, Romantic Park
Lô A11, Cụm công nghiệp Cơ kim khí
số A8, 2
Số 8 nhà B12, TT ĐH Giao Thông Vận Tải
Số 18, NV2
Tầng 12, tòa nhà Diamond Flower
Số 38, ngõ 17 Lê Văn Thiêm
Phòng 401 Tầng 4 Tòa Nhà Sông Đà 9, Phạm Hùng
Số 25N4, phố Tân Mai
Số 11, Dịch vụ 14
Số nhà 17, ngõ 141 Nguyễn Ngọc Nại
Tổ 2, khu Tân Bình
Số 6, ngõ 207 đường Xuân Đỉnh
Tầng 2, Tòa 2A Chung cư Vinaconex 7
Tầng 4, Tháp CEO
Số 58, đường Minh Xuân
Tầng 7, Số 9
Xóm Nghè, thôn Trung
Số nhà 14A, ngõ 193/1 Phố Cầu Cốc
Shophouse chân đế 01.S06, Tòa S2
Số nhà 22, Thôn Dậu 2
Số 46, Phố Hàng Vải
Số 3A1, Ngõ 179
Tầng 12 Tòa nhà Licogi 13, Số 164 Khuất Duy Tiến
Khu Văn phòng, Tầng 3
Tầng 1, DV09
Số nhà 75, tổ dân phố Phượng Bãi
Số 7, ngõ 259/67/12
Số 6, ngách 28/22
Tầng 2, Nơ 14A Khu đô thị Định Công
Số 7, Khu nhà vườn Vĩnh Hoàng Giai đoạn 2
P.316, C5
Số 31A, ngõ 197 đường Trần Phú
Số 18, Ngõ 76
Kiot 10, Tầng 1
Số Nhà 11, Đường TT6
Phòng 401, tầng 4 tòa nhà Nhật An
Tầng 2, số 30 Lê Ngọc Hân
P. B1509, tầng 15
Căn nhà D01, L16
Tầng 9, tòa nhà Leadvisors Place
